mm_aaaa;A0;A0_1;A0_7;A1;pais;ccaa;gastototal;factoregatur
012019;2;20180100028651;3;3;05;09;340.66975476;462.07203096
012019;2;20180100028652;3;3;05;09;346.46090958;221.45489993
012019;2;20180100028653;3;3;05;09;346.46090958;664.3646998
012019;2;20180100028655;3;3;13;09;346.46090958;282.21004543
012019;2;20180100028656;3;3;03;09;346.46090958;221.45489993
012019;2;20180100028657;3;3;05;09;346.46090958;221.45489993
012019;2;20180100028739;4;3;05;98;253.9908465;53.772515207
012019;2;20180100028741;4;3;05;98;253.9908465;268.86257604
022019;2;20180100028752;4;1;01;98;92.57401107;144.34696973
032019;2;20180100028752;4;1;01;98;94.871633381;61.444607295
012019;2;20180100028901;4;2;11;98;41.773998326;504.85667712
012019;2;20180100028903;4;2;11;98;41.773998326;504.85667712
012019;2;20180100028906;4;2;11;98;41.773998326;252.42833856
012019;2;20180100028923;4;2;12;98;41.773998326;252.42833856
012019;2;20180100028933;4;2;11;98;41.773998326;252.42833856
012019;2;20180100029968;4;2;03;98;41.773998326;240.42593932
012019;2;20180100029975;4;2;03;98;41.773998326;480.85187864
012019;2;20180100030487;3;3;07;06;340.66975476;235.86629109
012019;2;20180100030491;3;3;08;06;346.46090958;122.01926047
012019;2;20180100030496;4;3;07;98;253.9908465;161.31754562
012019;2;20180100030498;4;3;07;98;253.9908465;107.54503041
012019;2;20180100030499;4;3;08;98;253.9908465;53.772515207
012019;2;20180100030501;4;3;08;98;253.9908465;53.772515207
012019;2;20180100030530;4;1;07;98;91.112401468;308.57969227
012019;2;20180100030539;4;1;07;98;91.112401468;308.57969227
012019;2;20180100030996;4;1;07;98;91.112401468;308.57969227
032019;2;20180100031028;4;1;01;98;94.871633381;61.444607295
022019;2;20180100031028;4;1;01;98;92.57401107;144.34696973
032019;2;20180100031194;4;1;01;98;94.871633381;61.444607295
022019;2;20180100031194;4;1;01;98;92.57401107;144.34696973
012019;2;20180200000781;3;2;05;09;266.51455969;252.24722968
022019;2;20180200000781;3;2;05;09;265.9287032;79.266301903
012019;2;20180200000945;3;1;15;01;79.104780818;603.06712996
022019;2;20180200000945;3;1;15;01;78.676740812;410.08465652
012019;2;20180200002162;4;1;15;98;91.112401468;470.40186948
022019;2;20180200002162;4;1;15;98;92.57401107;406.31446008
